2017.11.08_10:01:54,38.33,51.26,62.71,8.17,7.87,11.32,22.79,8.58,977.72,59.23,80.13,98.18,21.01,23.27,22.84,23.80,73.10,984.84,82.95,P; Tset = 16.80; Ttrue = NaN; T1 = 22.41; RH1 = 85.95; T2 = 23.61; RH2 = 82.46
2017.11.08_11:33:54,54.75,79.83,103.23,11.84,13.24,17.10,24.90,7.72,1010.62,57.48,78.37,102.45,13.78,17.38,19.57,25.75,10.64,1018.15,11.35,P; Tset = 39.40; Ttrue = NaN; T1 = 23.97; RH1 = 12.60; T2 = 25.58; RH2 = 11.48
2017.11.08_11:34:54,54.04,77.59,102.32,11.11,12.64,17.55,24.92,7.73,1010.56,60.37,80.44,100.83,13.12,16.88,19.26,25.76,10.61,1018.12,11.34,P; Tset = 39.60; Ttrue = NaN; T1 = 23.97; RH1 = 12.59; T2 = 25.58; RH2 = 11.48
2017.11.08_11:35:54,55.41,78.97,98.80,12.14,14.39,16.77,24.94,7.70,1010.52,55.66,79.94,101.98,13.14,17.34,20.72,25.76,10.57,1018.07,11.30,P; Tset = 39.80; Ttrue = NaN; T1 = 23.98; RH1 = 12.54; T2 = 25.59; RH2 = 11.43
2017.11.08_11:36:54,58.96,80.14,99.81,11.85,15.74,17.30,24.95,7.70,1010.51,58.60,80.99,101.95,14.68,17.15,20.09,25.77,10.53,1018.04,11.28,P; Tset = 39.80; Ttrue = NaN; T1 = 23.98; RH1 = 12.53; T2 = 25.59; RH2 = 11.41
2017.11.08_11:37:54,58.79,79.44,105.13,11.44,13.23,16.91,24.97,7.70,1010.43,58.05,79.94,100.16,13.55,17.48,21.66,25.78,10.52,1017.99,11.27,P; Tset = 40.00; Ttrue = NaN; T1 = 23.98; RH1 = 12.53; T2 = 25.60; RH2 = 11.41
2017.11.08_11:38:54,57.39,81.54,107.60,12.26,12.80,17.13,24.98,7.70,1010.42,58.79,82.61,103.15,14.35,17.91,19.80,25.79,10.50,1017.95,11.28,P; Tset = 40.20; Ttrue = NaN; T1 = 23.99; RH1 = 12.55; T2 = 25.61; RH2 = 11.41
2017.11.08_11:39:54,57.54,82.53,106.74,13.10,12.95,17.97,24.99,7.72,1010.39,62.88,82.10,105.51,14.37,17.56,20.01,25.80,10.50,1017.94,11.29,P; Tset = 40.20; Ttrue = NaN; T1 = 23.99; RH1 = 12.56; T2 = 25.62; RH2 = 11.41
2017.11.08_11:40:54,58.65,82.69,113.53,12.42,14.98,17.93,25.00,7.73,1010.37,62.38,83.15,106.27,14.25,18.28,22.83,25.81,10.48,1017.92,11.29,P; Tset = 40.40; Ttrue = NaN; T1 = 24.00; RH1 = 12.57; T2 = 25.62; RH2 = 11.42
2017.11.08_11:41:54,58.01,82.00,106.69,12.18,12.87,17.49,25.02,7.74,1010.36,63.35,83.49,103.85,13.87,16.87,19.97,25.83,10.48,1017.90,11.31,P; Tset = 40.40; Ttrue = NaN; T1 = 24.00; RH1 = 12.61; T2 = 25.63; RH2 = 11.44
2017.11.08_11:42:54,57.43,80.71,106.29,12.50,12.70,17.50,25.03,7.74,1010.37,59.45,81.45,105.68,13.02,17.35,19.80,25.84,10.46,1017.91,11.28,P; Tset = 40.60; Ttrue = NaN; T1 = 24.01; RH1 = 12.57; T2 = 25.63; RH2 = 11.42
2017.11.08_11:43:54,56.99,79.63,107.33,11.24,12.69,17.14,25.03,7.74,1010.37,59.45,80.61,101.62,14.39,17.41,20.10,25.84,10.43,1017.88,11.26,P; Tset = 40.80; Ttrue = NaN; T1 = 24.01; RH1 = 12.55; T2 = 25.64; RH2 = 11.39
2017.11.08_11:44:54,59.99,78.85,101.26,11.62,15.49,16.85,25.05,7.74,1010.33,58.99,77.93,104.75,13.62,17.14,19.24,25.86,10.40,1017.85,11.24,P; Tset = 40.80; Ttrue = NaN; T1 = 24.02; RH1 = 12.55; T2 = 25.65; RH2 = 11.38
2017.11.08_11:45:54,55.06,79.24,99.63,10.78,13.19,16.79,25.05,7.75,1010.28,59.99,82.17,101.01,13.93,17.68,19.70,25.88,10.40,1017.83,11.24,P; Tset = 41.00; Ttrue = NaN; T1 = 24.02; RH1 = 12.57; T2 = 25.66; RH2 = 11.39
2017.11.08_11:46:54,51.86,72.24,92.48,10.27,12.03,16.51,25.06,7.74,1010.23,56.12,74.44,93.51,12.88,17.13,19.04,25.88,10.38,1017.78,11.23,P; Tset = 41.20; Ttrue = NaN; T1 = 24.03; RH1 = 12.54; T2 = 25.67; RH2 = 11.38
2017.11.08_11:47:54,53.00,80.30,94.34,9.76,13.11,17.18,25.07,7.70,1010.17,56.17,74.02,93.63,12.00,15.79,19.78,25.89,10.31,1017.71,11.17,P; Tset = 41.20; Ttrue = NaN; T1 = 24.03; RH1 = 12.46; T2 = 25.68; RH2 = 11.32
2017.11.08_11:48:54,51.47,74.62,95.08,10.92,12.43,16.00,25.07,7.68,1010.12,53.16,75.00,95.02,13.53,15.63,19.36,25.90,10.27,1017.68,11.13,P; Tset = 41.40; Ttrue = NaN; T1 = 24.03; RH1 = 12.43; T2 = 25.69; RH2 = 11.28
2017.11.08_11:49:54,54.19,74.31,95.59,10.58,12.29,16.37,25.07,7.66,1010.09,56.18,70.94,95.96,13.20,15.56,19.40,25.90,10.24,1017.64,11.11,P; Tset = 41.40; Ttrue = NaN; T1 = 24.04; RH1 = 12.41; T2 = 25.70; RH2 = 11.25
2017.11.08_11:50:54,55.23,72.58,97.28,11.76,12.27,16.68,25.08,7.66,1010.07,57.67,74.96,92.56,12.88,16.76,19.15,25.91,10.22,1017.61,11.11,P; Tset = 41.60; Ttrue = NaN; T1 = 24.04; RH1 = 12.42; T2 = 25.71; RH2 = 11.25
2017.11.08_11:51:54,50.25,70.60,94.63,11.23,12.48,15.61,25.09,7.66,1010.03,55.84,73.14,92.14,12.43,16.81,18.30,25.92,10.22,1017.59,11.11,P; Tset = 41.60; Ttrue = NaN; T1 = 24.04; RH1 = 12.42; T2 = 25.72; RH2 = 11.25
2017.11.08_11:52:54,51.34,73.26,90.30,12.43,11.46,14.62,25.10,7.68,1010.03,52.16,73.74,90.70,12.29,16.15,18.40,25.92,10.20,1017.57,11.12,P; Tset = 41.80; Ttrue = NaN; T1 = 24.05; RH1 = 12.43; T2 = 25.74; RH2 = 11.25
2017.11.08_11:53:54,50.83,70.29,91.55,11.01,11.57,15.34,25.11,7.67,1009.99,51.52,69.11,90.83,12.54,15.08,17.89,25.92,10.19,1017.54,11.13,P; Tset = 42.00; Ttrue = NaN; T1 = 24.05; RH1 = 12.43; T2 = 25.75; RH2 = 11.25
2017.11.08_11:54:54,52.03,73.19,93.62,11.17,11.80,16.06,25.11,7.67,1009.95,53.82,72.89,92.34,13.81,17.30,19.02,25.93,10.17,1017.49,11.12,P; Tset = 42.00; Ttrue = NaN; T1 = 24.06; RH1 = 12.42; T2 = 25.76; RH2 = 11.24
2017.11.08_11:55:54,52.09,74.22,96.68,10.48,11.31,15.58,25.13,7.66,1009.91,55.76,72.36,95.23,12.05,18.38,19.69,25.94,10.15,1017.45,11.11,P; Tset = 42.20; Ttrue = NaN; T1 = 24.07; RH1 = 12.42; T2 = 25.77; RH2 = 11.23
2017.11.08_11:56:54,55.21,74.19,95.47,10.62,11.41,15.22,25.13,7.64,1009.92,54.78,73.73,94.35,13.08,19.20,19.40,25.95,10.13,1017.47,11.09,P; Tset = 42.20; Ttrue = NaN; T1 = 24.08; RH1 = 12.39; T2 = 25.78; RH2 = 11.21
2017.11.08_11:57:54,50.42,71.57,92.90,10.84,14.26,14.81,25.15,7.63,1009.90,54.99,70.59,91.82,14.02,17.33,17.84,25.96,10.09,1017.47,11.06,P; Tset = 42.40; Ttrue = NaN; T1 = 24.08; RH1 = 12.36; T2 = 25.79; RH2 = 11.18
2017.11.08_11:58:54,56.02,74.36,95.56,11.18,12.30,16.87,25.15,7.61,1009.88,58.72,73.68,93.45,12.63,16.38,18.85,25.96,10.07,1017.45,11.04,P; Tset = 42.40; Ttrue = NaN; T1 = 24.09; RH1 = 12.34; T2 = 25.80; RH2 = 11.15
2017.11.08_11:59:54,54.85,76.46,100.62,13.72,13.96,15.46,25.16,7.62,1009.87,64.15,78.21,98.41,12.93,18.35,20.65,25.97,10.06,1017.41,11.04,P; Tset = 42.60; Ttrue = NaN; T1 = 24.10; RH1 = 12.34; T2 = 25.81; RH2 = 11.15
2017.11.08_12:00:54,54.77,77.79,99.80,11.39,13.35,16.54,25.17,7.62,1009.84,57.81,77.44,99.20,13.38,17.30,19.61,25.98,10.04,1017.40,11.04,P; Tset = 42.60; Ttrue = NaN; T1 = 24.11; RH1 = 12.35; T2 = 25.81; RH2 = 11.15
2017.11.08_12:01:54,58.30,77.51,98.43,11.69,12.17,16.13,25.19,7.62,1009.81,58.59,80.04,98.85,13.23,16.75,19.77,25.99,10.03,1017.38,11.04,P; Tset = 42.80; Ttrue = NaN; T1 = 24.11; RH1 = 12.35; T2 = 25.81; RH2 = 11.16
2017.11.08_12:02:54,57.25,82.49,103.04,11.21,12.57,16.85,25.20,7.62,1009.82,58.55,81.21,102.99,13.40,16.87,19.62,26.00,10.02,1017.36,11.04,P; Tset = 42.80; Ttrue = NaN; T1 = 24.11; RH1 = 12.36; T2 = 25.82; RH2 = 11.15
2017.11.08_12:03:54,59.69,85.62,105.36,12.46,13.61,18.13,25.21,7.64,1009.73,59.85,81.72,104.66,13.20,16.78,19.62,26.00,10.04,1017.29,11.07,P; Tset = 43.00; Ttrue = NaN; T1 = 24.12; RH1 = 12.39; T2 = 25.82; RH2 = 11.17
