2017.11.07_00:21:10,648.22,880.95,1074.26,95.74,105.52,121.41,22.12,13.90,968.14,681.87,873.30,1023.76,91.33,102.88,119.17,22.97,15.93,975.11,19.01,P; Tset = 14.80; Ttrue = NaN; T1 = 20.99; RH1 = 20.88; T2 = 22.76; RH2 = 18.55
2017.11.07_01:52:10,659.67,894.16,1093.21,95.90,103.41,121.13,22.25,15.18,1001.45,691.49,887.54,1034.92,92.86,105.01,121.92,23.01,16.83,1008.55,19.91,P; Tset = 38.80; Ttrue = NaN; T1 = 20.90; RH1 = 22.75; T2 = 22.81; RH2 = 20.06
2017.11.07_01:53:10,659.13,892.54,1088.24,94.65,106.05,120.85,22.25,15.20,1001.46,694.66,886.14,1041.49,92.93,103.57,120.32,23.00,16.84,1008.56,19.93,P; Tset = 39.00; Ttrue = NaN; T1 = 20.89; RH1 = 22.78; T2 = 22.79; RH2 = 20.08
2017.11.07_01:54:10,658.75,884.67,1089.90,94.64,104.70,121.86,22.24,15.22,1001.45,691.59,883.86,1029.13,92.56,104.07,119.51,22.99,16.87,1008.55,19.96,P; Tset = 39.00; Ttrue = NaN; T1 = 20.88; RH1 = 22.82; T2 = 22.77; RH2 = 20.11
2017.11.07_01:55:10,661.44,892.08,1087.52,95.39,104.73,121.65,22.23,15.26,1001.45,698.35,883.69,1034.59,91.83,102.43,119.77,22.97,16.88,1008.55,19.99,P; Tset = 39.20; Ttrue = NaN; T1 = 20.87; RH1 = 22.85; T2 = 22.76; RH2 = 20.13
2017.11.07_01:56:10,660.17,893.47,1094.76,94.35,106.24,121.00,22.23,15.25,1001.47,696.78,894.20,1041.09,92.09,106.11,120.87,22.97,16.88,1008.55,19.98,P; Tset = 39.40; Ttrue = NaN; T1 = 20.86; RH1 = 22.85; T2 = 22.76; RH2 = 20.13
2017.11.07_01:57:10,671.67,903.55,1104.87,96.01,105.52,123.34,22.23,15.21,1001.45,700.33,898.20,1047.31,91.78,104.38,123.16,22.97,16.86,1008.56,19.92,P; Tset = 39.40; Ttrue = NaN; T1 = 20.85; RH1 = 22.77; T2 = 22.74; RH2 = 20.10
2017.11.07_01:58:10,669.06,897.79,1104.33,95.05,105.22,122.06,22.21,15.15,1001.45,700.25,897.75,1046.38,95.29,104.22,120.81,22.95,16.80,1008.54,19.84,P; Tset = 39.60; Ttrue = NaN; T1 = 20.84; RH1 = 22.67; T2 = 22.73; RH2 = 20.01
2017.11.07_01:59:10,679.42,910.28,1111.58,99.41,108.56,125.52,22.21,15.11,1001.42,717.54,902.92,1056.78,93.40,109.05,121.66,22.95,16.76,1008.50,19.78,P; Tset = 39.80; Ttrue = NaN; T1 = 20.83; RH1 = 22.61; T2 = 22.72; RH2 = 19.95
2017.11.07_02:00:10,680.80,916.26,1119.69,96.80,108.79,125.05,22.19,15.05,1001.41,714.03,909.37,1076.76,96.51,107.72,124.05,22.95,16.71,1008.49,19.71,P; Tset = 39.80; Ttrue = NaN; T1 = 20.83; RH1 = 22.55; T2 = 22.72; RH2 = 19.89
2017.11.07_02:01:10,675.22,914.20,1112.90,95.67,105.84,126.76,22.18,15.01,1001.39,710.93,907.26,1064.24,95.79,106.97,123.51,22.94,16.67,1008.49,19.66,P; Tset = 40.00; Ttrue = NaN; T1 = 20.82; RH1 = 22.49; T2 = 22.71; RH2 = 19.84
2017.11.07_02:02:10,674.88,904.56,1110.34,96.68,104.31,123.26,22.18,15.02,1001.42,697.54,900.69,1060.22,93.37,104.13,122.05,22.93,16.66,1008.53,19.68,P; Tset = 40.20; Ttrue = NaN; T1 = 20.82; RH1 = 22.51; T2 = 22.70; RH2 = 19.84
2017.11.07_02:03:10,668.48,902.30,1106.77,96.05,105.98,122.18,22.16,15.09,1001.48,702.91,897.16,1057.86,93.06,104.95,121.70,22.93,16.71,1008.58,19.77,P; Tset = 40.20; Ttrue = NaN; T1 = 20.81; RH1 = 22.64; T2 = 22.69; RH2 = 19.92
2017.11.07_02:04:10,677.26,908.61,1114.11,94.28,107.04,124.98,22.15,15.17,1001.53,712.22,907.58,1061.76,94.28,105.86,121.81,22.92,16.78,1008.62,19.87,P; Tset = 40.40; Ttrue = NaN; T1 = 20.80; RH1 = 22.75; T2 = 22.69; RH2 = 20.01
2017.11.07_02:05:10,673.79,905.65,1109.42,98.88,107.94,124.30,22.14,15.24,1001.55,704.68,899.83,1058.78,92.34,105.51,122.56,22.91,16.85,1008.66,19.98,P; Tset = 40.60; Ttrue = NaN; T1 = 20.79; RH1 = 22.87; T2 = 22.69; RH2 = 20.12
2017.11.07_02:06:10,676.81,908.19,1113.62,98.80,108.14,123.27,22.13,15.32,1001.54,712.40,904.65,1061.12,93.70,105.51,123.23,22.91,16.91,1008.65,20.05,P; Tset = 40.60; Ttrue = NaN; T1 = 20.79; RH1 = 22.95; T2 = 22.68; RH2 = 20.19
2017.11.07_02:07:10,680.74,918.15,1126.14,99.51,107.63,122.92,22.12,15.31,1001.54,718.44,915.44,1063.86,95.06,107.84,123.32,22.90,16.92,1008.62,20.04,P; Tset = 40.80; Ttrue = NaN; T1 = 20.78; RH1 = 22.94; T2 = 22.67; RH2 = 20.20
2017.11.07_02:08:10,684.96,917.64,1125.08,99.93,107.24,127.31,22.10,15.26,1001.48,707.89,913.84,1064.04,96.34,107.29,123.40,22.89,16.87,1008.59,19.97,P; Tset = 41.00; Ttrue = NaN; T1 = 20.77; RH1 = 22.84; T2 = 22.67; RH2 = 20.14
2017.11.07_02:09:10,671.05,912.13,1110.27,98.31,106.04,123.04,22.09,15.25,1001.46,711.35,910.60,1054.65,92.71,106.08,123.97,22.89,16.86,1008.54,19.95,P; Tset = 41.00; Ttrue = NaN; T1 = 20.76; RH1 = 22.84; T2 = 22.66; RH2 = 20.12
2017.11.07_02:10:10,672.34,909.89,1102.75,95.76,106.85,123.41,22.08,15.29,1001.43,708.93,904.74,1057.13,93.05,106.03,124.34,22.87,16.88,1008.53,20.00,P; Tset = 41.20; Ttrue = NaN; T1 = 20.76; RH1 = 22.90; T2 = 22.65; RH2 = 20.15
2017.11.07_02:11:10,669.28,905.50,1109.04,95.90,107.33,121.52,22.06,15.33,1001.43,703.98,900.29,1058.93,93.55,106.04,122.48,22.87,16.92,1008.52,20.05,P; Tset = 41.20; Ttrue = NaN; T1 = 20.74; RH1 = 22.96; T2 = 22.64; RH2 = 20.21
2017.11.07_02:12:10,675.11,902.06,1106.95,94.09,107.13,121.55,22.06,15.36,1001.43,698.24,897.63,1057.01,93.51,104.13,124.65,22.85,16.94,1008.52,20.09,P; Tset = 41.40; Ttrue = NaN; T1 = 20.74; RH1 = 22.98; T2 = 22.63; RH2 = 20.24
2017.11.07_02:13:10,661.75,891.87,1092.78,96.48,105.01,121.49,22.04,15.37,1001.45,693.86,888.64,1042.30,93.85,104.73,120.77,22.84,16.95,1008.53,20.10,P; Tset = 41.60; Ttrue = NaN; T1 = 20.73; RH1 = 23.00; T2 = 22.63; RH2 = 20.24
2017.11.07_02:14:10,664.26,887.54,1089.57,95.48,104.01,121.41,22.04,15.42,1001.48,697.82,894.17,1044.19,91.80,103.30,119.51,22.84,16.98,1008.55,20.14,P; Tset = 41.60; Ttrue = NaN; T1 = 20.72; RH1 = 23.06; T2 = 22.62; RH2 = 20.29
2017.11.07_02:15:10,663.34,891.87,1095.53,95.19,104.39,119.97,22.04,15.49,1001.50,695.51,886.30,1038.97,94.03,102.23,118.17,22.84,17.04,1008.57,20.22,P; Tset = 41.80; Ttrue = NaN; T1 = 20.71; RH1 = 23.17; T2 = 22.62; RH2 = 20.37
2017.11.07_02:16:10,660.62,887.61,1089.89,94.92,103.90,118.59,22.02,15.55,1001.49,696.64,883.74,1033.36,92.42,103.34,120.32,22.82,17.10,1008.57,20.31,P; Tset = 41.80; Ttrue = NaN; T1 = 20.70; RH1 = 23.26; T2 = 22.61; RH2 = 20.46
2017.11.07_02:17:10,662.71,888.31,1093.94,95.35,103.82,121.26,22.02,15.60,1001.49,692.36,883.48,1043.19,92.48,102.33,119.54,22.83,17.15,1008.58,20.36,P; Tset = 42.00; Ttrue = NaN; T1 = 20.69; RH1 = 23.32; T2 = 22.61; RH2 = 20.52
2017.11.07_02:18:10,664.88,887.11,1095.22,95.99,106.69,121.02,22.02,15.64,1001.49,696.82,889.44,1041.02,92.72,104.14,120.85,22.82,17.19,1008.57,20.41,P; Tset = 42.20; Ttrue = NaN; T1 = 20.69; RH1 = 23.37; T2 = 22.60; RH2 = 20.57
2017.11.07_02:19:10,665.18,895.53,1105.43,94.12,104.00,121.90,22.01,15.70,1001.53,696.55,890.75,1045.19,92.17,104.99,120.71,22.80,17.22,1008.58,20.47,P; Tset = 42.20; Ttrue = NaN; T1 = 20.68; RH1 = 23.43; T2 = 22.60; RH2 = 20.62
2017.11.07_02:20:10,666.20,897.18,1100.13,94.24,102.99,123.43,22.00,15.74,1001.48,698.52,896.12,1044.77,91.19,134.88,118.81,22.80,17.27,1008.57,20.51,P; Tset = 42.40; Ttrue = NaN; T1 = 20.67; RH1 = 23.50; T2 = 22.59; RH2 = 20.66
2017.11.07_02:21:10,661.88,897.27,1098.01,95.17,104.17,121.05,22.00,15.79,1001.47,756.21,893.95,1046.80,93.62,105.46,121.58,22.78,17.31,1008.55,20.58,P; Tset = 42.40; Ttrue = NaN; T1 = 20.66; RH1 = 23.56; T2 = 22.58; RH2 = 20.73
2017.11.07_02:22:10,664.24,896.98,1094.36,97.73,103.83,121.80,22.00,15.81,1001.43,695.61,890.39,1042.24,93.13,103.12,120.50,22.78,17.33,1008.53,20.59,P; Tset = 42.60; Ttrue = NaN; T1 = 20.64; RH1 = 23.58; T2 = 22.57; RH2 = 20.75
2017.11.07_02:23:10,669.65,893.10,1088.99,94.60,103.85,120.71,21.98,15.82,1001.41,694.35,888.77,1039.98,91.67,103.82,120.01,22.77,17.35,1008.53,20.60,P; Tset = 42.60; Ttrue = NaN; T1 = 20.64; RH1 = 23.57; T2 = 22.56; RH2 = 20.75
2017.11.07_02:24:10,663.06,893.56,1097.29,93.76,103.27,122.61,21.98,15.82,1001.44,699.64,893.57,1039.86,92.09,103.35,119.81,22.76,17.35,1008.54,20.58,P; Tset = 42.80; Ttrue = NaN; T1 = 20.63; RH1 = 23.55; T2 = 22.56; RH2 = 20.74
2017.11.07_02:25:10,658.23,894.80,1096.75,94.76,104.82,120.22,21.98,15.82,1001.44,694.16,895.66,1038.51,95.83,105.15,120.81,22.74,17.32,1008.56,20.57,P; Tset = 43.00; Ttrue = NaN; T1 = 20.63; RH1 = 23.53; T2 = 22.54; RH2 = 20.72
2017.11.07_02:26:10,660.54,890.86,1095.53,96.98,104.55,122.41,21.96,15.82,1001.43,695.55,892.60,1036.86,92.58,105.03,121.18,22.73,17.33,1008.54,20.57,P; Tset = 43.00; Ttrue = NaN; T1 = 20.62; RH1 = 23.53; T2 = 22.53; RH2 = 20.72
