2017.11.08_12:05:54,53.87,75.58,98.35,11.87,12.01,16.12,24.39,7.34,976.07,55.15,74.25,95.97,12.62,17.09,19.43,25.14,9.58,983.39,11.45,P; Tset = 16.60; Ttrue = NaN; T1 = 23.50; RH1 = 12.19; T2 = 25.14; RH2 = 11.12
2017.11.08_13:37:54,55.52,76.28,99.96,12.14,12.97,16.48,25.97,7.76,1008.26,57.19,75.64,97.84,13.01,15.92,19.58,26.63,9.45,1015.88,11.52,P; Tset = 37.80; Ttrue = NaN; T1 = 24.86; RH1 = 12.82; T2 = 26.60; RH2 = 11.52
2017.11.08_13:38:54,53.01,76.55,98.09,10.17,11.68,16.18,25.97,7.78,1008.23,55.51,73.13,96.16,12.58,17.25,20.19,26.63,9.45,1015.89,11.53,P; Tset = 38.00; Ttrue = NaN; T1 = 24.86; RH1 = 12.83; T2 = 26.60; RH2 = 11.53
2017.11.08_13:39:54,53.95,72.65,90.98,11.15,11.02,14.48,25.97,7.74,1008.26,55.06,70.25,90.60,13.80,16.27,18.06,26.64,9.44,1015.88,11.49,P; Tset = 38.00; Ttrue = NaN; T1 = 24.86; RH1 = 12.78; T2 = 26.60; RH2 = 11.50
2017.11.08_13:40:54,49.98,71.12,92.80,10.14,11.49,14.81,25.97,7.70,1008.26,50.35,68.42,87.68,12.03,15.42,17.54,26.65,9.39,1015.87,11.43,P; Tset = 38.20; Ttrue = NaN; T1 = 24.87; RH1 = 12.72; T2 = 26.61; RH2 = 11.43
2017.11.08_13:41:54,49.61,69.95,87.72,11.65,13.88,14.80,25.99,7.70,1008.26,51.90,70.51,92.55,13.10,16.40,17.49,26.65,9.38,1015.88,11.42,P; Tset = 38.20; Ttrue = NaN; T1 = 24.87; RH1 = 12.71; T2 = 26.61; RH2 = 11.42
2017.11.08_13:42:54,49.81,68.20,87.56,10.18,12.56,13.89,25.99,7.67,1008.22,49.33,68.51,84.41,12.00,14.82,17.94,26.66,9.35,1015.85,11.38,P; Tset = 38.40; Ttrue = NaN; T1 = 24.87; RH1 = 12.67; T2 = 26.61; RH2 = 11.39
2017.11.08_13:43:54,52.53,70.53,84.09,9.88,10.42,13.50,25.99,7.63,1008.19,50.35,66.21,85.00,12.25,15.10,16.94,26.67,9.30,1015.81,11.33,P; Tset = 38.60; Ttrue = NaN; T1 = 24.88; RH1 = 12.62; T2 = 26.62; RH2 = 11.35
2017.11.08_13:44:54,51.28,72.54,84.56,10.30,9.87,14.33,25.99,7.62,1008.14,49.13,68.57,83.04,11.79,14.85,16.77,26.67,9.29,1015.76,11.32,P; Tset = 38.60; Ttrue = NaN; T1 = 24.88; RH1 = 12.61; T2 = 26.62; RH2 = 11.33
2017.11.08_13:45:54,47.06,64.50,85.19,10.19,10.69,14.47,25.99,7.61,1008.14,49.86,63.95,82.83,11.13,14.82,17.29,26.68,9.27,1015.78,11.30,P; Tset = 38.80; Ttrue = NaN; T1 = 24.88; RH1 = 12.60; T2 = 26.62; RH2 = 11.32
2017.11.08_13:46:54,47.00,66.10,86.00,10.41,10.26,14.12,26.00,7.59,1008.12,51.36,65.67,82.90,12.28,15.53,18.15,26.69,9.25,1015.78,11.29,P; Tset = 38.80; Ttrue = NaN; T1 = 24.89; RH1 = 12.58; T2 = 26.63; RH2 = 11.31
2017.11.08_13:47:54,47.13,69.01,85.25,10.38,11.19,14.18,26.01,7.59,1008.13,49.22,67.90,84.05,12.14,15.45,17.26,26.69,9.25,1015.79,11.29,P; Tset = 39.00; Ttrue = NaN; T1 = 24.90; RH1 = 12.58; T2 = 26.63; RH2 = 11.30
2017.11.08_13:48:54,48.59,67.19,85.21,9.48,10.31,14.54,26.01,7.59,1008.14,51.78,71.83,84.75,11.86,14.63,17.42,26.69,9.25,1015.79,11.29,P; Tset = 39.00; Ttrue = NaN; T1 = 24.90; RH1 = 12.59; T2 = 26.63; RH2 = 11.30
2017.11.08_13:49:54,49.30,67.02,84.60,8.87,9.72,13.61,26.02,7.61,1008.15,48.63,67.20,83.05,11.80,15.19,17.12,26.71,9.24,1015.77,11.29,P; Tset = 39.20; Ttrue = NaN; T1 = 24.90; RH1 = 12.59; T2 = 26.64; RH2 = 11.30
2017.11.08_13:50:54,48.43,69.07,88.71,9.32,11.31,14.17,26.03,7.60,1008.17,51.64,69.81,85.67,12.19,14.54,17.01,26.71,9.22,1015.79,11.27,P; Tset = 39.40; Ttrue = NaN; T1 = 24.91; RH1 = 12.57; T2 = 26.64; RH2 = 11.29
2017.11.08_13:51:54,50.07,68.84,91.30,10.44,11.53,14.39,26.03,7.58,1008.09,51.72,72.56,89.09,12.99,15.50,17.80,26.71,9.20,1015.73,11.25,P; Tset = 39.40; Ttrue = NaN; T1 = 24.91; RH1 = 12.54; T2 = 26.64; RH2 = 11.27
2017.11.08_13:52:54,51.07,70.01,91.36,10.15,11.30,14.82,26.03,7.57,1008.11,51.74,70.59,87.99,13.29,15.36,18.49,26.72,9.19,1015.75,11.24,P; Tset = 39.60; Ttrue = NaN; T1 = 24.91; RH1 = 12.54; T2 = 26.65; RH2 = 11.26
2017.11.08_13:53:54,48.52,69.79,88.10,10.20,11.40,14.27,26.05,7.53,1008.11,51.79,68.85,87.74,14.01,16.95,19.05,26.73,9.16,1015.75,11.19,P; Tset = 39.60; Ttrue = NaN; T1 = 24.92; RH1 = 12.48; T2 = 26.65; RH2 = 11.22
2017.11.08_13:54:54,47.96,69.68,86.59,9.86,11.34,15.13,26.05,7.49,1008.11,53.30,70.62,85.17,11.90,15.88,19.64,26.73,9.11,1015.71,11.13,P; Tset = 39.80; Ttrue = NaN; T1 = 24.91; RH1 = 12.43; T2 = 26.65; RH2 = 11.17
2017.11.08_13:55:54,50.10,69.55,88.25,10.53,11.68,15.12,26.05,7.44,1008.06,52.48,70.07,88.88,11.50,15.90,17.17,26.73,9.08,1015.69,11.09,P; Tset = 39.80; Ttrue = NaN; T1 = 24.88; RH1 = 12.41; T2 = 26.65; RH2 = 11.12
2017.11.08_13:56:54,50.10,70.93,88.06,10.94,10.54,14.53,26.05,7.41,1008.08,53.86,67.04,89.32,12.81,15.74,16.81,26.73,9.03,1015.67,11.05,P; Tset = 40.00; Ttrue = NaN; T1 = 24.82; RH1 = 12.40; T2 = 26.64; RH2 = 11.09
2017.11.08_13:57:54,49.35,67.72,87.07,9.59,10.28,14.19,26.04,7.36,1008.09,51.01,66.70,89.22,13.20,16.03,17.89,26.72,8.98,1015.66,10.98,P; Tset = 40.00; Ttrue = NaN; T1 = 24.70; RH1 = 12.38; T2 = 26.62; RH2 = 11.04
2017.11.08_13:58:54,48.76,67.17,83.38,9.67,11.18,13.70,26.02,7.29,1008.08,49.41,66.03,82.07,12.16,14.88,16.07,26.70,8.91,1015.64,10.90,P; Tset = 40.20; Ttrue = NaN; T1 = 24.57; RH1 = 12.35; T2 = 26.60; RH2 = 10.98
2017.11.08_13:59:54,46.13,64.38,82.71,10.85,10.12,13.36,26.00,7.23,1008.12,48.23,65.43,81.56,11.51,15.19,16.58,26.65,8.83,1015.63,10.82,P; Tset = 40.20; Ttrue = NaN; T1 = 24.42; RH1 = 12.32; T2 = 26.57; RH2 = 10.90
2017.11.08_14:00:54,48.28,65.25,83.06,9.28,9.53,14.01,25.97,7.19,1008.15,48.07,66.04,81.80,11.15,14.35,16.94,26.61,8.79,1015.64,10.78,P; Tset = 40.40; Ttrue = NaN; T1 = 24.30; RH1 = 12.35; T2 = 26.53; RH2 = 10.85
2017.11.08_14:01:54,46.84,62.47,82.78,9.86,10.37,15.46,25.94,7.19,1008.15,50.39,61.12,82.07,11.59,14.40,17.50,26.55,8.77,1015.62,10.77,P; Tset = 40.40; Ttrue = NaN; T1 = 24.18; RH1 = 12.38; T2 = 26.48; RH2 = 10.83
2017.11.08_14:02:54,45.60,62.91,80.22,9.79,9.53,14.00,25.89,7.19,1008.12,48.67,62.28,84.77,10.94,14.32,16.77,26.50,8.76,1015.61,10.76,P; Tset = 40.60; Ttrue = NaN; T1 = 24.10; RH1 = 12.40; T2 = 26.42; RH2 = 10.83
2017.11.08_14:03:54,43.75,61.04,78.89,10.50,9.80,11.97,25.83,7.19,1008.09,46.92,58.70,78.58,12.77,15.03,16.52,26.45,8.74,1015.58,10.73,P; Tset = 40.60; Ttrue = NaN; T1 = 24.02; RH1 = 12.38; T2 = 26.35; RH2 = 10.81
2017.11.08_14:04:54,44.69,60.43,80.74,10.46,11.75,11.90,25.77,7.19,1008.08,47.99,58.33,76.61,11.69,14.41,18.06,26.38,8.71,1015.55,10.73,P; Tset = 40.80; Ttrue = NaN; T1 = 23.96; RH1 = 12.37; T2 = 26.30; RH2 = 10.79
2017.11.08_14:05:54,43.29,61.46,77.91,9.98,10.31,13.04,25.70,7.21,1008.11,48.30,64.22,78.23,10.92,13.89,17.96,26.33,8.71,1015.56,10.74,P; Tset = 40.80; Ttrue = NaN; T1 = 23.91; RH1 = 12.39; T2 = 26.27; RH2 = 10.78
2017.11.08_14:06:54,44.43,60.51,79.96,9.66,10.31,12.67,25.66,7.23,1008.08,45.06,61.34,79.93,10.81,14.36,16.19,26.28,8.71,1015.53,10.76,P; Tset = 41.00; Ttrue = NaN; T1 = 23.87; RH1 = 12.41; T2 = 26.23; RH2 = 10.79
2017.11.08_14:07:54,45.30,61.96,83.67,11.29,9.85,13.58,25.61,7.25,1008.05,45.15,61.45,80.97,10.76,14.59,15.84,26.24,8.72,1015.52,10.78,P; Tset = 41.00; Ttrue = NaN; T1 = 23.83; RH1 = 12.45; T2 = 26.18; RH2 = 10.81
2017.11.08_14:08:54,44.58,64.35,81.13,11.07,9.71,14.14,25.57,7.27,1008.04,47.68,63.09,78.49,11.23,13.97,16.52,26.20,8.74,1015.50,10.81,P; Tset = 41.20; Ttrue = NaN; T1 = 23.79; RH1 = 12.48; T2 = 26.13; RH2 = 10.84
2017.11.08_14:09:54,44.89,65.30,80.54,10.98,11.28,13.02,25.51,7.31,1008.02,46.08,61.08,81.87,11.42,16.33,16.39,26.14,8.76,1015.48,10.85,P; Tset = 41.20; Ttrue = NaN; T1 = 23.75; RH1 = 12.52; T2 = 26.09; RH2 = 10.88
2017.11.08_14:10:54,46.30,65.47,84.06,8.89,11.00,14.19,25.45,7.33,1008.00,47.82,64.20,80.45,12.38,15.17,17.10,26.09,8.78,1015.45,10.88,P; Tset = 41.40; Ttrue = NaN; T1 = 23.73; RH1 = 12.53; T2 = 26.05; RH2 = 10.89
2017.11.08_14:11:54,45.83,65.04,83.07,9.14,10.22,13.86,25.41,7.36,1008.00,51.70,69.48,78.67,10.65,15.06,16.00,26.05,8.79,1015.46,10.92,P; Tset = 41.40; Ttrue = NaN; T1 = 23.70; RH1 = 12.57; T2 = 26.03; RH2 = 10.93
2017.11.08_14:12:54,43.96,61.12,80.54,9.69,10.39,13.06,58.13,7.40,1008.00,50.17,62.88,83.08,11.53,14.93,18.06,26.03,8.82,1015.48,10.95,P; Tset = 41.60; Ttrue = NaN; T1 = 23.69; RH1 = 12.60; T2 = 26.00; RH2 = 10.95
2017.11.08_14:13:54,45.84,65.06,81.55,9.13,10.41,13.47,25.35,7.44,1008.02,49.48,63.85,78.02,11.06,14.42,15.98,25.99,8.85,1015.48,11.00,P; Tset = 41.60; Ttrue = NaN; T1 = 23.67; RH1 = 12.65; T2 = 25.98; RH2 = 11.00
2017.11.08_14:14:54,48.00,64.48,82.09,9.25,10.08,13.42,25.33,7.45,1007.98,49.62,67.47,80.93,10.97,13.71,16.36,25.97,8.87,1015.45,11.02,P; Tset = 41.80; Ttrue = NaN; T1 = 23.65; RH1 = 12.65; T2 = 25.96; RH2 = 11.02
2017.11.08_14:15:54,45.40,64.03,81.45,9.08,11.35,13.12,25.29,7.47,1007.97,47.13,62.82,78.30,11.69,14.89,16.47,25.93,8.87,1015.45,11.03,P; Tset = 41.80; Ttrue = NaN; T1 = 23.64; RH1 = 12.66; T2 = 25.93; RH2 = 11.03
2017.11.08_14:16:54,49.60,63.56,81.59,9.63,10.14,13.11,25.26,7.48,1007.99,52.60,63.97,79.58,11.84,14.88,16.58,25.92,8.87,1015.45,11.03,P; Tset = 42.00; Ttrue = NaN; T1 = 23.63; RH1 = 12.65; T2 = 25.90; RH2 = 11.02
2017.11.08_14:17:54,46.14,64.50,83.98,9.61,10.10,13.37,25.23,7.49,1007.96,51.39,68.48,81.79,11.26,16.53,17.54,25.89,8.89,1015.46,11.04,P; Tset = 42.00; Ttrue = NaN; T1 = 23.62; RH1 = 12.66; T2 = 25.87; RH2 = 11.04
2017.11.08_14:18:54,45.21,62.32,81.63,9.63,9.72,13.23,25.20,7.47,1007.98,48.11,63.39,81.08,10.27,14.72,17.71,25.86,8.87,1015.46,11.02,P; Tset = 42.20; Ttrue = NaN; T1 = 23.62; RH1 = 12.61; T2 = 25.84; RH2 = 11.03
2017.11.08_14:19:54,44.49,66.04,81.37,9.22,10.34,14.23,25.17,7.45,1007.99,48.79,64.99,80.74,11.34,14.60,16.16,25.83,8.85,1015.46,11.02,P; Tset = 42.20; Ttrue = NaN; T1 = 23.61; RH1 = 12.59; T2 = 25.82; RH2 = 11.02
2017.11.08_14:20:54,43.26,65.32,82.95,8.77,10.62,13.01,25.15,7.45,1007.97,50.37,63.23,80.53,11.34,14.85,18.40,25.81,8.85,1015.46,11.01,P; Tset = 42.40; Ttrue = NaN; T1 = 23.61; RH1 = 12.57; T2 = 25.80; RH2 = 11.00
2017.11.08_14:21:54,45.64,63.82,81.40,9.15,9.69,13.67,25.13,7.45,1007.94,54.19,62.27,82.28,11.94,13.73,17.48,25.79,8.85,1015.43,11.01,P; Tset = 42.40; Ttrue = NaN; T1 = 23.61; RH1 = 12.56; T2 = 25.79; RH2 = 11.00
2017.11.08_14:22:54,46.48,64.48,82.26,10.17,10.02,13.86,25.11,7.45,1007.98,50.33,62.32,80.72,11.85,15.15,17.12,25.77,8.83,1015.47,11.01,P; Tset = 42.40; Ttrue = NaN; T1 = 23.61; RH1 = 12.54; T2 = 25.78; RH2 = 10.99
2017.11.08_14:23:54,46.86,64.70,84.44,10.95,10.87,13.73,25.11,7.47,1007.94,50.81,62.64,81.07,10.98,15.52,17.08,25.76,8.85,1015.44,11.03,P; Tset = 42.60; Ttrue = NaN; T1 = 23.61; RH1 = 12.56; T2 = 25.77; RH2 = 11.01
2017.11.08_14:24:54,46.24,63.05,83.25,9.63,10.06,13.23,25.09,7.48,1007.91,53.62,63.18,80.50,12.09,15.00,17.03,25.74,8.86,1015.42,11.06,P; Tset = 42.60; Ttrue = NaN; T1 = 23.61; RH1 = 12.58; T2 = 25.76; RH2 = 11.03
2017.11.08_14:25:54,46.60,66.42,79.25,8.99,9.70,15.49,25.09,7.47,1007.90,49.06,63.35,82.33,11.11,15.30,16.32,25.74,8.85,1015.42,11.03,P; Tset = 42.80; Ttrue = NaN; T1 = 23.62; RH1 = 12.54; T2 = 25.75; RH2 = 11.01
2017.11.08_14:26:54,45.02,63.16,80.46,10.02,9.13,14.28,25.07,7.46,1007.88,48.39,63.20,82.06,11.12,15.01,17.28,25.74,8.84,1015.41,11.03,P; Tset = 42.80; Ttrue = NaN; T1 = 23.62; RH1 = 12.53; T2 = 25.75; RH2 = 11.01
2017.11.08_14:27:54,47.17,65.31,82.61,9.85,11.07,16.65,25.07,7.47,1007.86,52.04,67.16,82.06,10.67,14.94,16.52,25.72,8.85,1015.37,11.03,P; Tset = 43.00; Ttrue = NaN; T1 = 23.62; RH1 = 12.52; T2 = 25.74; RH2 = 11.01
2017.11.08_14:28:54,47.47,64.30,85.43,8.43,10.49,12.89,25.07,7.47,1007.85,52.43,66.51,84.39,11.39,14.49,15.98,25.72,8.84,1015.36,11.03,P; Tset = 43.00; Ttrue = NaN; T1 = 23.63; RH1 = 12.52; T2 = 25.74; RH2 = 11.00
2017.11.08_14:29:54,48.03,67.11,84.91,12.04,12.64,14.42,25.06,7.49,1007.80,53.86,68.24,84.97,11.35,15.71,16.78,25.72,8.85,1015.32,11.05,P; Tset = 43.00; Ttrue = NaN; T1 = 23.63; RH1 = 12.54; T2 = 25.73; RH2 = 11.02
