2017.11.06_02:49:08,500.56,704.16,881.05,80.31,88.15,100.45,23.09,11.99,970.22,927.52,1168.42,1364.84,109.21,119.14,138.70,24.27,74.67,977.38,84.30,P; Tset = 15.60; Ttrue = NaN; T1 = 23.18; RH1 = 85.57; T2 = 24.10; RH2 = 83.87
2017.11.06_04:21:08,516.68,721.44,897.23,81.94,87.77,103.33,23.60,12.04,1003.25,544.83,717.69,865.56,76.41,91.00,102.43,24.61,14.79,1010.51,16.03,P; Tset = 39.20; Ttrue = NaN; T1 = 22.36; RH1 = 18.39; T2 = 24.17; RH2 = 16.42
2017.11.06_04:22:08,518.36,715.72,899.58,78.57,86.21,101.68,23.58,12.06,1003.23,545.17,715.49,867.56,77.63,87.50,101.26,24.59,14.78,1010.51,16.04,P; Tset = 39.20; Ttrue = NaN; T1 = 22.34; RH1 = 18.41; T2 = 24.16; RH2 = 16.43
2017.11.06_04:23:08,516.84,721.39,905.14,78.61,86.85,102.11,23.55,12.11,1003.24,542.67,712.71,862.29,76.65,86.21,100.92,24.57,14.77,1010.50,16.05,P; Tset = 39.40; Ttrue = NaN; T1 = 22.32; RH1 = 18.42; T2 = 24.15; RH2 = 16.43
2017.11.06_04:24:08,511.61,717.44,897.26,79.23,86.05,100.61,23.54,12.16,1003.23,545.72,710.38,858.70,76.15,86.80,100.51,24.56,14.78,1010.49,16.08,P; Tset = 39.60; Ttrue = NaN; T1 = 22.30; RH1 = 18.47; T2 = 24.14; RH2 = 16.45
2017.11.06_04:25:08,515.25,718.05,898.72,79.54,85.36,99.87,23.51,12.22,1003.22,541.99,719.23,852.65,76.33,86.51,100.71,24.55,14.80,1010.49,16.14,P; Tset = 39.60; Ttrue = NaN; T1 = 22.27; RH1 = 18.56; T2 = 24.12; RH2 = 16.51
2017.11.06_04:26:08,512.46,715.40,897.41,79.23,85.35,101.86,23.49,12.27,1003.24,538.96,714.47,857.68,74.87,86.32,100.21,24.52,14.83,1010.48,16.19,P; Tset = 39.80; Ttrue = NaN; T1 = 22.24; RH1 = 18.63; T2 = 24.10; RH2 = 16.57
2017.11.06_04:27:08,514.01,719.73,897.49,78.95,86.74,100.17,23.46,12.31,1003.24,539.37,714.50,855.38,77.73,87.99,101.38,24.50,14.85,1010.48,16.24,P; Tset = 40.00; Ttrue = NaN; T1 = 22.21; RH1 = 18.69; T2 = 24.08; RH2 = 16.61
2017.11.06_04:28:08,520.40,715.41,897.11,79.21,87.54,100.99,23.45,12.37,1003.22,546.22,714.70,862.77,77.52,88.15,102.28,24.48,14.87,1010.47,16.28,P; Tset = 40.00; Ttrue = NaN; T1 = 22.19; RH1 = 18.75; T2 = 24.05; RH2 = 16.64
2017.11.06_04:29:08,515.35,724.27,898.14,79.93,87.77,100.20,23.43,12.40,1003.21,544.94,716.68,861.56,77.85,85.65,101.33,24.45,14.89,1010.46,16.33,P; Tset = 40.20; Ttrue = NaN; T1 = 22.16; RH1 = 18.80; T2 = 24.02; RH2 = 16.70
2017.11.06_04:30:08,511.75,714.88,897.96,77.86,88.84,99.97,23.41,12.43,1003.22,546.18,714.25,857.50,78.18,86.90,102.56,24.43,14.91,1010.46,16.36,P; Tset = 40.40; Ttrue = NaN; T1 = 22.14; RH1 = 18.85; T2 = 24.00; RH2 = 16.73
2017.11.06_04:31:08,518.79,719.19,902.80,80.10,89.31,100.42,23.40,12.45,1003.22,548.18,716.20,855.19,76.42,87.46,102.67,24.41,14.91,1010.47,16.38,P; Tset = 40.40; Ttrue = NaN; T1 = 22.11; RH1 = 18.87; T2 = 23.97; RH2 = 16.76
2017.11.06_04:32:08,523.62,724.59,904.08,80.04,88.92,102.34,23.39,12.45,1003.24,556.30,725.02,866.02,78.43,87.42,101.77,24.39,14.90,1010.48,16.37,P; Tset = 40.60; Ttrue = NaN; T1 = 22.09; RH1 = 18.86; T2 = 23.95; RH2 = 16.76
2017.11.06_04:33:08,522.41,720.24,900.22,78.93,88.41,102.65,23.37,12.41,1003.20,548.27,720.87,865.79,76.66,86.17,101.97,24.37,14.85,1010.47,16.32,P; Tset = 40.80; Ttrue = NaN; T1 = 22.07; RH1 = 18.80; T2 = 23.93; RH2 = 16.70
2017.11.06_04:34:08,524.48,726.96,911.09,80.85,88.82,102.18,23.35,12.38,1003.21,543.23,722.63,864.97,77.64,87.19,100.62,24.35,14.82,1010.47,16.28,P; Tset = 40.80; Ttrue = NaN; T1 = 22.04; RH1 = 18.76; T2 = 23.92; RH2 = 16.65
2017.11.06_04:35:08,525.64,722.05,904.55,79.57,89.47,100.82,23.35,12.36,1003.20,547.41,727.03,862.67,77.32,88.40,102.08,24.34,14.79,1010.47,16.25,P; Tset = 41.00; Ttrue = NaN; T1 = 22.02; RH1 = 18.74; T2 = 23.90; RH2 = 16.63
2017.11.06_04:36:08,522.64,717.53,902.02,81.84,87.99,101.18,23.33,12.39,1003.21,551.10,717.17,867.50,76.28,86.93,101.94,24.32,14.77,1010.46,16.25,P; Tset = 41.00; Ttrue = NaN; T1 = 22.00; RH1 = 18.76; T2 = 23.89; RH2 = 16.63
2017.11.06_04:37:08,520.82,719.05,906.57,79.59,86.89,101.21,23.32,12.42,1003.20,540.41,722.32,863.20,75.88,87.48,99.54,24.30,14.79,1010.46,16.30,P; Tset = 41.20; Ttrue = NaN; T1 = 21.98; RH1 = 18.82; T2 = 23.87; RH2 = 16.67
2017.11.06_04:38:08,517.07,716.78,898.60,82.76,89.09,101.09,23.30,12.45,1003.22,543.02,717.13,861.27,77.10,88.83,103.73,24.28,14.81,1010.45,16.34,P; Tset = 41.40; Ttrue = NaN; T1 = 21.95; RH1 = 18.87; T2 = 23.85; RH2 = 16.71
2017.11.06_04:39:08,527.00,726.93,908.72,82.70,88.29,103.70,23.28,12.48,1003.22,543.23,726.11,875.47,76.95,87.90,100.79,24.26,14.83,1010.46,16.38,P; Tset = 41.40; Ttrue = NaN; T1 = 21.93; RH1 = 18.91; T2 = 23.83; RH2 = 16.76
2017.11.06_04:40:08,522.92,729.42,904.45,81.13,87.58,101.54,23.26,12.51,1003.22,546.46,722.32,870.83,78.45,86.51,102.93,24.24,14.83,1010.45,16.40,P; Tset = 41.60; Ttrue = NaN; T1 = 21.90; RH1 = 18.95; T2 = 23.80; RH2 = 16.79
2017.11.06_04:41:08,518.29,725.76,903.66,80.28,89.39,102.91,23.22,12.54,1003.23,549.17,725.62,864.16,76.46,89.64,102.39,24.23,14.85,1010.46,16.43,P; Tset = 41.60; Ttrue = NaN; T1 = 21.89; RH1 = 19.00; T2 = 23.78; RH2 = 16.82
2017.11.06_04:42:08,521.77,724.01,909.79,77.94,88.33,103.39,23.20,12.56,1003.25,548.14,725.89,865.89,77.19,88.08,101.68,24.21,14.85,1010.47,16.44,P; Tset = 41.80; Ttrue = NaN; T1 = 21.86; RH1 = 19.02; T2 = 23.75; RH2 = 16.83
2017.11.06_04:43:08,520.60,728.69,909.37,81.65,88.84,102.16,23.18,12.58,1003.25,557.84,725.74,869.77,78.44,87.97,102.97,24.18,14.87,1010.48,16.44,P; Tset = 42.00; Ttrue = NaN; T1 = 21.83; RH1 = 19.04; T2 = 23.72; RH2 = 16.84
2017.11.06_04:44:08,519.34,719.96,908.33,81.69,89.77,102.92,23.16,12.57,1003.26,549.23,727.29,874.15,79.22,88.38,101.47,24.16,14.85,1010.50,16.45,P; Tset = 42.00; Ttrue = NaN; T1 = 21.81; RH1 = 19.04; T2 = 23.69; RH2 = 16.85
2017.11.06_04:45:08,522.89,720.28,911.48,79.29,87.58,101.55,23.14,12.58,1003.28,552.63,722.95,876.07,76.96,89.42,102.85,24.14,14.85,1010.51,16.45,P; Tset = 42.20; Ttrue = NaN; T1 = 21.79; RH1 = 19.05; T2 = 23.68; RH2 = 16.84
2017.11.06_04:46:08,524.26,724.81,910.27,80.64,88.51,102.28,23.13,12.59,1003.31,552.50,726.03,873.96,78.29,88.90,102.09,24.11,14.85,1010.52,16.47,P; Tset = 42.20; Ttrue = NaN; T1 = 21.77; RH1 = 19.06; T2 = 23.66; RH2 = 16.85
2017.11.06_04:47:08,523.02,726.11,908.68,79.97,87.47,103.23,23.12,12.59,1003.33,553.70,731.96,871.03,80.32,88.98,103.42,24.09,14.84,1010.53,16.47,P; Tset = 42.40; Ttrue = NaN; T1 = 21.75; RH1 = 19.05; T2 = 23.65; RH2 = 16.85
2017.11.06_04:48:08,519.66,716.83,908.32,80.27,86.79,100.79,23.10,12.60,1003.32,552.08,722.96,866.73,78.72,87.04,101.99,24.08,14.83,1010.52,16.46,P; Tset = 42.40; Ttrue = NaN; T1 = 21.73; RH1 = 19.06; T2 = 23.64; RH2 = 16.84
2017.11.06_04:49:08,526.86,725.46,905.69,80.69,86.57,100.95,23.09,12.60,1003.31,556.75,727.50,871.05,77.87,91.21,102.74,24.06,14.82,1010.54,16.48,P; Tset = 42.60; Ttrue = NaN; T1 = 21.71; RH1 = 19.07; T2 = 23.63; RH2 = 16.85
2017.11.06_04:50:08,525.98,728.04,909.51,79.14,88.20,101.74,23.07,12.59,1003.33,546.21,718.10,867.75,78.10,88.20,101.83,24.05,14.80,1010.54,16.46,P; Tset = 42.80; Ttrue = NaN; T1 = 21.69; RH1 = 19.05; T2 = 23.62; RH2 = 16.84
2017.11.06_04:51:08,524.35,729.77,908.92,80.78,88.35,101.30,23.06,12.58,1003.32,549.99,722.52,869.86,77.87,92.23,104.56,24.03,14.79,1010.52,16.46,P; Tset = 42.80; Ttrue = NaN; T1 = 21.66; RH1 = 19.07; T2 = 23.61; RH2 = 16.83
2017.11.06_04:52:08,526.22,730.76,911.60,80.44,89.05,102.39,23.04,12.60,1003.31,547.38,724.26,872.86,77.73,88.39,103.83,24.01,14.79,1010.50,16.46,P; Tset = 43.00; Ttrue = NaN; T1 = 21.63; RH1 = 19.08; T2 = 23.58; RH2 = 16.83
2017.11.06_04:53:08,525.35,726.24,910.76,79.48,87.37,101.71,23.02,12.62,1003.31,551.47,724.42,868.35,77.50,88.71,100.59,24.00,14.79,1010.49,16.47,P; Tset = 43.00; Ttrue = NaN; T1 = 21.61; RH1 = 19.10; T2 = 23.57; RH2 = 16.84
