2017.11.06_22:07:48,674.97,909.16,1117.41,102.52,110.55,127.66,22.91,13.30,968.34,1202.02,1455.39,1668.60,136.03,147.22,171.48,24.10,74.18,975.44,83.86,P; Tset = 14.80; Ttrue = NaN; T1 = 22.91; RH1 = 85.64; T2 = 23.93; RH2 = 83.46
2017.11.06_23:38:48,689.80,926.22,1135.64,98.28,111.07,128.25,23.07,14.28,1001.63,723.63,919.84,1082.12,98.79,110.86,124.71,24.04,16.98,1008.87,18.50,P; Tset = 38.20; Ttrue = NaN; T1 = 21.96; RH1 = 21.04; T2 = 23.65; RH2 = 18.87
2017.11.06_23:39:48,682.05,923.59,1131.19,97.94,109.68,126.51,23.07,14.27,1001.61,721.91,921.76,1078.39,97.04,108.70,125.64,24.04,16.95,1008.87,18.47,P; Tset = 38.40; Ttrue = NaN; T1 = 21.95; RH1 = 21.03; T2 = 23.65; RH2 = 18.84
2017.11.06_23:40:48,686.74,915.78,1124.36,98.47,107.82,125.56,23.07,14.27,1001.61,724.57,919.72,1082.86,95.53,106.48,125.56,24.04,16.92,1008.86,18.46,P; Tset = 38.40; Ttrue = NaN; T1 = 21.94; RH1 = 21.04; T2 = 23.64; RH2 = 18.83
2017.11.06_23:41:48,678.53,925.04,1122.74,97.29,109.71,126.72,23.07,14.28,1001.61,710.43,914.60,1075.13,96.28,107.51,124.98,24.04,16.92,1008.88,18.48,P; Tset = 38.60; Ttrue = NaN; T1 = 21.93; RH1 = 21.07; T2 = 23.64; RH2 = 18.85
2017.11.06_23:42:48,680.92,923.84,1123.56,98.77,109.59,126.37,23.07,14.30,1001.64,711.55,914.90,1073.61,99.59,108.72,123.86,24.04,16.92,1008.90,18.48,P; Tset = 38.80; Ttrue = NaN; T1 = 21.92; RH1 = 21.08; T2 = 23.64; RH2 = 18.86
2017.11.06_23:43:48,675.34,921.51,1133.03,99.06,108.49,128.32,23.07,14.31,1001.65,716.73,914.02,1068.79,95.67,107.50,124.04,24.02,16.91,1008.90,18.49,P; Tset = 38.80; Ttrue = NaN; T1 = 21.91; RH1 = 21.08; T2 = 23.64; RH2 = 18.86
2017.11.06_23:44:48,679.94,917.13,1127.28,101.32,108.58,127.14,23.07,14.29,1001.67,723.83,914.70,1077.54,96.09,106.64,126.48,24.02,16.89,1008.92,18.46,P; Tset = 39.00; Ttrue = NaN; T1 = 21.90; RH1 = 21.06; T2 = 23.63; RH2 = 18.84
2017.11.06_23:45:48,683.65,915.18,1130.16,100.07,107.92,125.78,23.06,14.28,1001.65,714.41,914.38,1079.06,95.34,107.00,125.83,24.02,16.85,1008.91,18.44,P; Tset = 39.20; Ttrue = NaN; T1 = 21.89; RH1 = 21.04; T2 = 23.63; RH2 = 18.82
2017.11.06_23:46:48,680.65,924.81,1132.95,99.49,109.44,125.70,23.04,14.24,1001.63,713.54,910.60,1067.85,97.58,107.79,126.53,24.00,16.81,1008.89,18.40,P; Tset = 39.20; Ttrue = NaN; T1 = 21.87; RH1 = 20.98; T2 = 23.63; RH2 = 18.77
2017.11.06_23:47:48,680.82,920.84,1129.06,99.69,109.05,126.73,23.04,14.20,1001.61,713.64,907.50,1074.72,97.85,106.32,125.17,24.00,16.76,1008.84,18.33,P; Tset = 39.40; Ttrue = NaN; T1 = 21.86; RH1 = 20.93; T2 = 23.62; RH2 = 18.70
2017.11.06_23:48:48,678.60,918.90,1124.69,100.52,109.42,126.68,23.04,14.17,1001.56,720.83,918.88,1081.99,95.41,110.29,126.38,24.00,16.70,1008.81,18.28,P; Tset = 39.60; Ttrue = NaN; T1 = 21.85; RH1 = 20.88; T2 = 23.62; RH2 = 18.65
2017.11.06_23:49:48,685.98,912.69,1120.66,101.69,111.13,125.24,23.04,14.15,1001.55,715.19,913.57,1072.09,95.31,107.04,125.14,24.00,16.67,1008.80,18.25,P; Tset = 39.60; Ttrue = NaN; T1 = 21.84; RH1 = 20.86; T2 = 23.61; RH2 = 18.62
2017.11.06_23:50:48,677.97,919.23,1124.87,96.85,111.19,125.12,23.04,14.14,1001.58,716.28,907.60,1074.48,95.62,105.88,125.07,23.98,16.65,1008.80,18.26,P; Tset = 39.80; Ttrue = NaN; T1 = 21.82; RH1 = 20.87; T2 = 23.61; RH2 = 18.62
2017.11.06_23:51:48,686.36,923.44,1119.21,98.77,108.98,125.80,23.04,14.14,1001.56,721.64,921.91,1093.21,94.65,105.63,123.94,23.98,16.63,1008.80,18.25,P; Tset = 40.00; Ttrue = NaN; T1 = 21.81; RH1 = 20.87; T2 = 23.60; RH2 = 18.62
2017.11.06_23:52:48,680.20,924.08,1120.67,97.55,108.33,125.28,23.03,14.13,1001.55,711.64,904.51,1070.68,93.08,108.77,125.79,23.98,16.61,1008.79,18.24,P; Tset = 40.00; Ttrue = NaN; T1 = 21.81; RH1 = 20.87; T2 = 23.60; RH2 = 18.61
2017.11.06_23:53:48,676.62,916.57,1123.00,99.59,110.33,125.43,23.02,14.14,1001.54,711.90,911.83,1060.25,95.05,106.09,123.33,23.96,16.60,1008.77,18.25,P; Tset = 40.20; Ttrue = NaN; T1 = 21.80; RH1 = 20.87; T2 = 23.60; RH2 = 18.60
2017.11.06_23:54:48,674.29,913.55,1119.05,102.34,110.09,123.02,23.02,14.14,1001.52,709.68,908.19,1058.69,95.29,105.77,123.48,23.96,16.60,1008.75,18.26,P; Tset = 40.20; Ttrue = NaN; T1 = 21.79; RH1 = 20.89; T2 = 23.59; RH2 = 18.60
2017.11.06_23:55:48,681.34,910.10,1118.79,98.53,108.68,125.72,23.02,14.15,1001.52,709.63,911.69,1066.54,94.48,106.41,124.27,23.96,16.58,1008.73,18.26,P; Tset = 40.40; Ttrue = NaN; T1 = 21.78; RH1 = 20.90; T2 = 23.58; RH2 = 18.62
2017.11.06_23:56:48,680.39,917.03,1113.69,97.60,108.31,126.52,23.02,14.17,1001.52,711.12,913.04,1064.09,95.57,109.18,124.98,23.95,16.58,1008.75,18.28,P; Tset = 40.60; Ttrue = NaN; T1 = 21.77; RH1 = 20.93; T2 = 23.58; RH2 = 18.63
2017.11.06_23:57:48,679.01,922.44,1124.62,98.53,108.17,127.16,23.01,14.19,1001.55,713.64,909.89,1065.97,94.63,107.29,124.93,23.94,16.58,1008.77,18.30,P; Tset = 40.60; Ttrue = NaN; T1 = 21.76; RH1 = 20.96; T2 = 23.57; RH2 = 18.64
2017.11.06_23:58:48,681.08,917.06,1119.23,98.09,107.97,125.78,23.00,14.19,1001.56,707.26,912.54,1070.02,96.66,106.33,122.82,23.94,16.57,1008.78,18.29,P; Tset = 40.80; Ttrue = NaN; T1 = 21.75; RH1 = 20.95; T2 = 23.56; RH2 = 18.64
2017.11.06_23:59:48,677.47,913.47,1122.16,98.16,107.39,122.89,23.00,14.17,1001.52,707.43,910.07,1065.77,93.36,104.95,123.74,23.93,16.55,1008.76,18.27,P; Tset = 40.80; Ttrue = NaN; T1 = 21.74; RH1 = 20.93; T2 = 23.56; RH2 = 18.62
2017.11.07_00:00:48,672.93,914.11,1113.83,97.59,109.29,124.29,23.00,14.17,1001.49,709.33,907.67,1063.75,95.52,107.02,124.24,23.92,16.52,1008.72,18.26,P; Tset = 41.00; Ttrue = NaN; T1 = 21.74; RH1 = 20.92; T2 = 23.55; RH2 = 18.61
2017.11.07_00:01:48,675.14,912.41,1119.37,98.60,107.11,122.83,23.00,14.17,1001.48,711.03,907.45,1061.05,95.00,106.13,124.80,23.92,16.51,1008.71,18.24,P; Tset = 41.20; Ttrue = NaN; T1 = 21.73; RH1 = 20.91; T2 = 23.54; RH2 = 18.59
2017.11.07_00:02:48,677.68,914.62,1120.39,99.25,108.28,123.90,22.99,14.17,1001.48,709.00,912.84,1066.04,95.22,106.41,124.03,23.91,16.51,1008.70,18.26,P; Tset = 41.20; Ttrue = NaN; T1 = 21.72; RH1 = 20.94; T2 = 23.52; RH2 = 18.61
2017.11.07_00:03:48,674.71,913.92,1117.08,99.24,106.67,123.88,22.98,14.21,1001.46,712.96,914.44,1062.80,94.16,109.45,125.72,23.90,16.52,1008.70,18.29,P; Tset = 41.40; Ttrue = NaN; T1 = 21.71; RH1 = 20.98; T2 = 23.51; RH2 = 18.63
2017.11.07_00:04:48,681.74,914.28,1125.59,99.10,110.95,124.88,22.98,14.21,1001.48,717.91,905.18,1067.36,95.06,107.76,124.85,23.89,16.52,1008.70,18.30,P; Tset = 41.40; Ttrue = NaN; T1 = 21.70; RH1 = 20.99; T2 = 23.50; RH2 = 18.65
2017.11.07_00:05:48,680.68,913.16,1125.47,98.11,109.39,124.92,22.97,14.19,1001.49,713.28,908.53,1069.70,93.42,107.25,124.41,23.88,16.50,1008.70,18.28,P; Tset = 41.60; Ttrue = NaN; T1 = 21.69; RH1 = 20.96; T2 = 23.50; RH2 = 18.63
2017.11.07_00:06:48,678.08,913.48,1124.04,98.69,109.74,124.12,22.96,14.19,1001.49,708.14,906.56,1065.38,96.48,108.48,123.99,23.88,16.48,1008.70,18.28,P; Tset = 41.60; Ttrue = NaN; T1 = 21.68; RH1 = 20.98; T2 = 23.49; RH2 = 18.62
2017.11.07_00:07:48,679.96,922.52,1125.70,97.78,107.34,124.95,22.96,14.18,1001.48,720.99,916.64,1073.15,95.41,107.72,126.45,23.86,16.47,1008.70,18.28,P; Tset = 41.80; Ttrue = NaN; T1 = 21.67; RH1 = 20.96; T2 = 23.47; RH2 = 18.62
2017.11.07_00:08:48,682.21,917.65,1117.42,98.63,108.30,125.10,22.94,14.18,1001.48,721.94,912.74,1068.74,94.23,105.53,128.49,23.85,16.44,1008.68,18.26,P; Tset = 42.00; Ttrue = NaN; T1 = 21.66; RH1 = 20.95; T2 = 23.46; RH2 = 18.60
2017.11.07_00:09:48,678.77,911.36,1117.35,97.99,108.77,124.69,22.94,14.19,1001.48,714.12,907.36,1068.43,95.04,106.66,125.22,23.84,16.44,1008.70,18.28,P; Tset = 42.00; Ttrue = NaN; T1 = 21.65; RH1 = 20.98; T2 = 23.45; RH2 = 18.62
2017.11.07_00:10:48,678.89,911.97,1118.38,101.68,109.68,125.35,22.94,14.20,1001.48,710.91,905.94,1069.78,94.59,106.39,125.88,23.84,16.45,1008.69,18.29,P; Tset = 42.20; Ttrue = NaN; T1 = 21.64; RH1 = 21.01; T2 = 23.44; RH2 = 18.63
2017.11.07_00:11:48,676.00,917.46,1122.07,98.07,109.00,124.03,22.93,14.19,1001.50,711.20,907.51,1071.18,96.69,107.81,127.17,23.82,16.45,1008.71,18.30,P; Tset = 42.20; Ttrue = NaN; T1 = 21.63; RH1 = 21.00; T2 = 23.43; RH2 = 18.64
2017.11.07_00:12:48,683.42,916.40,1121.54,98.27,108.98,124.50,22.92,14.17,1001.53,713.32,911.42,1068.02,95.51,107.99,125.01,23.82,16.40,1008.72,18.24,P; Tset = 42.40; Ttrue = NaN; T1 = 21.61; RH1 = 20.93; T2 = 23.42; RH2 = 18.59
2017.11.07_00:13:48,683.70,915.47,1121.60,99.09,108.52,125.24,22.92,14.12,1001.54,712.13,910.66,1072.33,93.91,107.64,123.85,23.81,16.36,1008.73,18.20,P; Tset = 42.40; Ttrue = NaN; T1 = 21.61; RH1 = 20.90; T2 = 23.41; RH2 = 18.56
2017.11.07_00:14:48,674.59,911.50,1116.30,97.22,106.88,124.18,22.90,14.12,1001.55,714.50,904.63,1060.55,95.56,107.25,125.26,23.80,16.36,1008.74,18.21,P; Tset = 42.60; Ttrue = NaN; T1 = 21.60; RH1 = 20.91; T2 = 23.41; RH2 = 18.55
2017.11.07_00:15:48,678.18,917.84,1121.09,98.07,107.42,124.34,22.90,14.15,1001.55,709.06,909.11,1067.24,95.48,107.64,124.18,23.80,16.37,1008.76,18.23,P; Tset = 42.60; Ttrue = NaN; T1 = 21.59; RH1 = 20.95; T2 = 23.40; RH2 = 18.57
2017.11.07_00:16:48,673.02,913.94,1117.25,96.99,108.26,125.74,22.90,14.19,1001.56,709.78,907.46,1064.50,94.00,106.75,125.34,23.79,16.39,1008.75,18.28,P; Tset = 42.80; Ttrue = NaN; T1 = 21.58; RH1 = 21.02; T2 = 23.40; RH2 = 18.61
2017.11.07_00:17:48,674.19,917.45,1116.84,95.67,108.57,126.19,22.90,14.24,1001.54,712.26,915.08,1069.19,94.51,107.63,124.91,23.78,16.42,1008.74,18.34,P; Tset = 42.80; Ttrue = NaN; T1 = 21.57; RH1 = 21.08; T2 = 23.39; RH2 = 18.66
2017.11.07_00:18:48,674.73,916.72,1124.94,96.17,110.27,124.88,22.89,14.27,1001.49,711.80,905.71,1070.71,94.77,107.62,124.48,23.78,16.45,1008.72,18.38,P; Tset = 43.00; Ttrue = NaN; T1 = 21.56; RH1 = 21.15; T2 = 23.39; RH2 = 18.71
2017.11.07_00:19:48,677.40,911.73,1121.86,98.33,107.58,127.17,22.88,14.32,1001.52,708.05,907.24,1068.42,95.14,106.89,125.18,23.78,16.47,1008.73,18.42,P; Tset = 43.00; Ttrue = NaN; T1 = 21.55; RH1 = 21.20; T2 = 23.38; RH2 = 18.76
