2017.11.10_00:23:24,36.29,36.96,40.29,9.96,8.05,7.99,22.93,7.52,968.22,47.23,47.63,43.69,9.72,10.22,9.92,23.71,9.83,975.27,11.53,P; Tset = 14.60; Ttrue = NaN; T1 = 21.80; RH1 = 12.43; T2 = 23.66; RH2 = 11.28
2017.11.10_01:55:24,19.22,23.03,17.33,10.24,4.14,5.74,23.15,6.44,1002.70,24.72,27.55,21.76,5.94,8.00,7.71,23.90,8.01,1009.98,9.93,P; Tset = 37.20; Ttrue = NaN; T1 = 21.87; RH1 = 11.22; T2 = 23.82; RH2 = 9.98
2017.11.10_01:56:24,20.46,22.15,16.25,11.16,4.89,5.01,23.15,6.44,1002.64,22.96,21.97,23.32,5.48,8.33,9.23,23.89,8.02,1009.91,9.93,P; Tset = 37.40; Ttrue = NaN; T1 = 21.86; RH1 = 11.19; T2 = 23.82; RH2 = 10.00
2017.11.10_01:57:24,28.43,24.13,22.74,4.72,3.38,5.46,23.13,6.44,1002.75,22.90,24.01,20.82,5.14,7.34,7.83,23.88,8.01,1009.98,9.93,P; Tset = 37.60; Ttrue = NaN; T1 = 21.86; RH1 = 11.19; T2 = 23.82; RH2 = 9.99
2017.11.10_01:58:24,18.85,26.59,24.83,4.24,3.03,5.98,23.13,6.46,1002.73,28.57,26.48,27.99,5.61,7.29,7.91,23.87,8.01,1009.95,9.94,P; Tset = 37.60; Ttrue = NaN; T1 = 21.85; RH1 = 11.21; T2 = 23.81; RH2 = 9.99
2017.11.10_01:59:24,27.00,23.35,23.68,8.22,4.12,6.47,23.13,6.46,1002.70,20.95,23.27,24.76,6.22,9.03,7.95,23.86,8.00,1009.95,9.95,P; Tset = 37.80; Ttrue = NaN; T1 = 21.84; RH1 = 11.21; T2 = 23.81; RH2 = 10.00
2017.11.10_02:00:24,21.44,22.73,17.18,6.98,6.11,9.26,23.11,6.46,1002.78,23.73,20.41,21.14,6.96,7.33,7.27,23.85,8.00,1010.01,9.95,P; Tset = 38.00; Ttrue = NaN; T1 = 21.84; RH1 = 11.21; T2 = 23.80; RH2 = 9.99
2017.11.10_02:01:24,19.65,17.16,17.73,7.49,3.75,4.61,23.11,6.46,1002.78,21.61,15.83,19.05,5.80,6.94,7.03,23.84,7.99,1010.03,9.96,P; Tset = 38.00; Ttrue = NaN; T1 = 21.83; RH1 = 11.25; T2 = 23.80; RH2 = 9.99
2017.11.10_02:02:24,22.71,23.01,16.09,5.32,3.79,5.93,23.11,6.50,1002.75,23.20,16.85,22.40,5.15,8.34,7.86,23.84,8.01,1009.97,9.99,P; Tset = 38.20; Ttrue = NaN; T1 = 21.82; RH1 = 11.29; T2 = 23.79; RH2 = 10.02
2017.11.10_02:03:24,20.08,18.85,16.37,4.87,4.81,6.14,23.11,6.50,1002.76,22.69,14.95,25.86,5.66,9.48,6.42,23.82,8.02,1010.02,10.02,P; Tset = 38.20; Ttrue = NaN; T1 = 21.81; RH1 = 11.30; T2 = 23.79; RH2 = 10.04
2017.11.10_02:04:24,24.09,24.96,18.46,6.56,5.27,6.64,23.09,6.51,1002.68,27.84,27.73,26.74,7.33,9.22,7.63,23.82,8.03,1009.90,10.02,P; Tset = 38.40; Ttrue = NaN; T1 = 21.80; RH1 = 11.30; T2 = 23.79; RH2 = 10.05
2017.11.10_02:05:24,40.28,36.00,32.78,8.00,8.38,8.21,23.09,6.49,1002.72,40.37,39.65,35.75,8.39,9.61,9.53,23.81,8.03,1009.99,10.00,P; Tset = 38.60; Ttrue = NaN; T1 = 21.80; RH1 = 11.25; T2 = 23.78; RH2 = 10.06
2017.11.10_02:06:24,32.19,32.10,27.05,5.60,5.45,7.28,23.09,6.47,1002.68,32.53,22.67,30.84,7.61,9.79,7.66,23.80,8.00,1009.93,9.97,P; Tset = 38.60; Ttrue = NaN; T1 = 21.79; RH1 = 11.21; T2 = 23.78; RH2 = 10.03
2017.11.10_02:07:24,33.20,30.62,23.33,6.73,5.55,6.88,23.09,6.46,1002.56,41.56,24.43,26.19,5.81,7.96,8.38,23.80,7.99,1009.79,9.96,P; Tset = 38.80; Ttrue = NaN; T1 = 21.78; RH1 = 11.20; T2 = 23.77; RH2 = 10.01
2017.11.10_02:08:24,115.39,110.68,95.94,29.37,23.21,22.05,23.08,6.44,1002.63,109.36,110.02,96.85,30.34,19.51,21.58,23.80,8.02,1009.92,9.95,P; Tset = 39.00; Ttrue = NaN; T1 = 21.78; RH1 = 11.13; T2 = 23.77; RH2 = 10.06
2017.11.10_02:09:24,56.41,57.04,50.02,15.25,12.61,11.00,23.07,6.39,1002.66,47.33,38.82,43.82,8.77,11.28,11.53,23.78,7.94,1009.83,9.88,P; Tset = 39.00; Ttrue = NaN; T1 = 21.77; RH1 = 11.08; T2 = 23.76; RH2 = 9.96
2017.11.10_02:10:24,61.94,56.58,56.86,14.64,11.76,13.80,23.07,6.36,1002.61,73.42,48.54,49.78,11.02,12.08,15.00,23.78,7.92,1009.89,9.85,P; Tset = 39.20; Ttrue = NaN; T1 = 21.76; RH1 = 11.04; T2 = 23.76; RH2 = 9.94
2017.11.10_02:11:24,35.70,33.05,33.29,8.53,6.93,8.70,23.07,6.35,1002.75,43.23,41.90,32.94,7.09,12.01,12.52,23.78,7.88,1009.97,9.81,P; Tset = 39.20; Ttrue = NaN; T1 = 21.75; RH1 = 11.03; T2 = 23.75; RH2 = 9.88
2017.11.10_02:12:24,35.38,30.97,25.09,11.17,6.43,9.65,23.05,6.35,1002.80,34.99,40.54,31.72,8.14,13.67,13.66,23.76,7.85,1010.07,9.81,P; Tset = 39.40; Ttrue = NaN; T1 = 21.74; RH1 = 11.04; T2 = 23.74; RH2 = 9.85
2017.11.10_02:13:24,27.13,27.08,25.17,8.84,5.80,13.16,23.04,6.36,1002.60,35.28,32.75,27.00,9.04,8.71,8.93,23.76,7.91,1009.83,9.85,P; Tset = 39.40; Ttrue = NaN; T1 = 21.73; RH1 = 11.04; T2 = 23.74; RH2 = 9.94
2017.11.10_02:14:24,34.31,30.87,29.73,9.22,5.69,6.75,23.04,6.36,1002.60,35.24,32.32,28.60,6.79,9.80,8.74,23.76,7.90,1009.84,9.84,P; Tset = 39.60; Ttrue = NaN; T1 = 21.73; RH1 = 11.03; T2 = 23.73; RH2 = 9.94
2017.11.10_02:15:24,37.75,29.18,27.56,9.47,6.07,6.78,23.04,6.33,1002.76,28.84,34.13,32.06,7.39,8.01,8.78,23.75,7.86,1009.95,9.80,P; Tset = 39.80; Ttrue = NaN; T1 = 21.72; RH1 = 11.00; T2 = 23.72; RH2 = 9.89
2017.11.10_02:16:24,32.89,32.21,26.77,5.42,7.64,8.65,23.02,6.32,1002.81,32.70,36.17,27.54,7.23,8.77,9.51,23.74,7.82,1009.96,9.78,P; Tset = 39.80; Ttrue = NaN; T1 = 21.71; RH1 = 10.99; T2 = 23.72; RH2 = 9.85
2017.11.10_02:17:24,37.46,49.89,37.38,9.23,8.60,9.81,23.02,6.31,1002.83,40.98,34.89,39.66,9.73,9.86,10.08,23.74,7.83,1009.94,9.77,P; Tset = 40.00; Ttrue = NaN; T1 = 21.71; RH1 = 10.97; T2 = 23.70; RH2 = 9.86
2017.11.10_02:18:24,58.83,65.39,59.47,13.56,16.04,14.10,23.00,6.30,1002.88,62.54,65.45,60.22,14.07,12.23,12.76,23.73,7.81,1010.01,9.75,P; Tset = 40.00; Ttrue = NaN; T1 = 21.70; RH1 = 10.95; T2 = 23.69; RH2 = 9.84
2017.11.10_02:19:24,61.80,52.62,50.48,12.89,9.80,13.71,23.00,6.28,1002.79,72.82,55.36,55.78,11.34,11.05,11.60,23.72,7.80,1009.98,9.73,P; Tset = 40.20; Ttrue = NaN; T1 = 21.69; RH1 = 10.92; T2 = 23.68; RH2 = 9.83
2017.11.10_02:20:24,37.38,43.46,44.23,9.79,12.86,11.24,22.99,6.24,1002.94,52.33,50.59,46.14,11.85,11.77,11.52,23.72,7.74,1010.17,9.68,P; Tset = 40.20; Ttrue = NaN; T1 = 21.68; RH1 = 10.88; T2 = 23.66; RH2 = 9.77
2017.11.10_02:21:24,40.89,40.59,42.35,9.34,9.75,9.84,22.98,6.24,1002.90,57.64,47.12,39.04,10.74,10.17,9.65,23.70,7.72,1010.20,9.66,P; Tset = 40.40; Ttrue = NaN; T1 = 21.67; RH1 = 10.87; T2 = 23.65; RH2 = 9.73
2017.11.10_02:22:24,23.41,26.85,25.81,5.70,6.11,8.68,22.97,6.21,1003.00,25.24,25.40,24.72,9.21,8.52,8.26,23.70,7.69,1010.20,9.64,P; Tset = 40.40; Ttrue = NaN; T1 = 21.67; RH1 = 10.85; T2 = 23.64; RH2 = 9.71
2017.11.10_02:23:24,28.49,24.80,23.83,8.38,7.78,5.84,22.96,6.22,1003.11,26.76,24.95,25.24,6.26,7.45,6.78,23.69,7.68,1010.22,9.63,P; Tset = 40.60; Ttrue = NaN; T1 = 21.66; RH1 = 10.86; T2 = 23.63; RH2 = 9.70
2017.11.10_02:24:24,34.98,34.71,33.66,8.50,9.18,8.79,22.94,6.22,1002.91,36.53,47.19,39.17,9.03,13.38,15.90,23.68,7.73,1010.21,9.66,P; Tset = 40.60; Ttrue = NaN; T1 = 21.65; RH1 = 10.85; T2 = 23.61; RH2 = 9.77
2017.11.10_02:25:24,41.59,46.89,35.73,12.82,8.35,9.54,22.93,6.20,1002.90,55.79,42.56,44.65,8.62,12.33,12.73,23.68,7.72,1010.22,9.65,P; Tset = 40.80; Ttrue = NaN; T1 = 21.64; RH1 = 10.81; T2 = 23.60; RH2 = 9.78
2017.11.10_02:26:24,37.30,40.54,34.53,8.14,6.05,9.47,22.92,6.21,1003.20,34.93,33.75,32.16,8.71,9.90,9.33,23.66,7.69,1010.43,9.64,P; Tset = 41.00; Ttrue = NaN; T1 = 21.63; RH1 = 10.83; T2 = 23.59; RH2 = 9.75
2017.11.10_02:27:24,26.49,30.05,25.93,7.21,7.63,7.31,22.90,6.22,1003.23,28.88,28.13,26.19,5.97,8.47,11.76,23.66,7.65,1010.46,9.63,P; Tset = 41.00; Ttrue = NaN; T1 = 21.62; RH1 = 10.86; T2 = 23.59; RH2 = 9.69
2017.11.10_02:28:24,25.14,26.47,25.20,6.63,4.37,6.49,22.90,6.22,1003.31,34.13,26.67,24.27,6.51,9.73,10.40,23.65,7.65,1010.50,9.64,P; Tset = 41.20; Ttrue = NaN; T1 = 21.62; RH1 = 10.89; T2 = 23.58; RH2 = 9.69
2017.11.10_02:29:24,25.86,23.19,23.11,6.31,5.35,7.38,22.88,6.23,1003.36,32.17,29.67,28.16,5.47,9.23,8.71,23.64,7.65,1010.60,9.66,P; Tset = 41.20; Ttrue = NaN; T1 = 21.61; RH1 = 10.92; T2 = 23.57; RH2 = 9.70
2017.11.10_02:30:24,25.37,23.08,24.46,4.22,5.41,6.36,22.88,6.26,1003.31,21.69,26.38,27.44,6.94,7.19,8.61,23.64,7.67,1010.55,9.66,P; Tset = 41.40; Ttrue = NaN; T1 = 21.60; RH1 = 10.91; T2 = 23.56; RH2 = 9.73
2017.11.10_02:31:24,36.49,32.84,32.29,7.76,5.68,8.94,22.87,6.23,1003.19,25.01,32.32,25.77,8.93,8.81,8.19,23.62,7.68,1010.46,9.66,P; Tset = 41.40; Ttrue = NaN; T1 = 21.59; RH1 = 10.87; T2 = 23.55; RH2 = 9.75
2017.11.10_02:32:24,27.95,26.64,28.27,5.80,4.50,7.71,22.86,6.19,1003.13,27.37,29.80,25.82,7.53,8.38,9.27,23.61,7.65,1010.27,9.62,P; Tset = 41.60; Ttrue = NaN; T1 = 21.58; RH1 = 10.80; T2 = 23.54; RH2 = 9.73
2017.11.10_02:33:24,27.92,33.21,24.51,5.50,5.76,7.48,22.86,6.18,1003.10,29.96,24.97,28.37,8.22,8.60,8.31,23.60,7.64,1010.33,9.61,P; Tset = 41.60; Ttrue = NaN; T1 = 21.57; RH1 = 10.79; T2 = 23.53; RH2 = 9.71
2017.11.10_02:34:24,39.80,47.10,34.62,9.18,7.34,9.96,22.86,6.17,1003.28,43.86,35.56,40.30,10.74,10.21,11.57,23.59,7.64,1010.42,9.60,P; Tset = 41.80; Ttrue = NaN; T1 = 21.56; RH1 = 10.77; T2 = 23.52; RH2 = 9.73
2017.11.10_02:35:24,51.12,40.33,40.82,9.96,8.36,10.94,22.84,6.12,1003.35,53.23,43.98,36.27,9.59,12.63,14.88,23.58,7.56,1010.49,9.52,P; Tset = 41.80; Ttrue = NaN; T1 = 21.55; RH1 = 10.70; T2 = 23.52; RH2 = 9.61
2017.11.10_02:36:24,59.45,57.24,54.09,9.55,9.11,11.34,22.84,6.08,1003.39,44.68,44.87,40.12,8.46,11.05,13.51,23.56,7.52,1010.50,9.49,P; Tset = 42.00; Ttrue = NaN; T1 = 21.54; RH1 = 10.65; T2 = 23.51; RH2 = 9.58
2017.11.10_02:37:24,31.28,28.45,29.79,7.01,3.96,7.46,22.84,6.06,1003.44,32.87,24.28,29.51,10.15,13.53,8.88,23.55,7.48,1010.63,9.45,P; Tset = 42.00; Ttrue = NaN; T1 = 21.53; RH1 = 10.65; T2 = 23.51; RH2 = 9.51
2017.11.10_02:38:24,37.27,33.78,40.58,8.62,8.12,9.08,22.82,6.07,1003.35,47.64,31.47,33.58,11.80,13.24,9.06,23.53,7.52,1010.51,9.49,P; Tset = 42.20; Ttrue = NaN; T1 = 21.51; RH1 = 10.66; T2 = 23.50; RH2 = 9.58
2017.11.10_02:39:24,39.34,40.33,34.72,15.38,7.45,9.57,22.82,6.05,1003.45,46.18,39.48,37.53,8.41,10.62,14.78,23.53,7.48,1010.59,9.45,P; Tset = 42.20; Ttrue = NaN; T1 = 21.50; RH1 = 10.62; T2 = 23.49; RH2 = 9.55
2017.11.10_02:40:24,38.05,40.53,35.08,9.68,9.02,8.74,22.81,6.03,1003.42,42.52,38.00,37.07,7.44,11.57,12.92,23.52,7.47,1010.57,9.45,P; Tset = 42.20; Ttrue = NaN; T1 = 21.49; RH1 = 10.60; T2 = 23.48; RH2 = 9.54
2017.11.10_02:41:24,30.87,30.23,32.80,7.61,4.97,8.34,22.80,6.01,1003.47,30.47,27.88,29.73,7.49,9.29,9.55,23.51,7.43,1010.64,9.41,P; Tset = 42.40; Ttrue = NaN; T1 = 21.48; RH1 = 10.59; T2 = 23.48; RH2 = 9.48
2017.11.10_02:42:24,36.85,32.21,35.17,6.08,6.42,7.19,22.80,6.01,1003.49,31.88,28.09,25.77,6.67,8.91,10.98,23.51,7.42,1010.67,9.40,P; Tset = 42.40; Ttrue = NaN; T1 = 21.47; RH1 = 10.60; T2 = 23.47; RH2 = 9.46
2017.11.10_02:43:24,28.61,27.12,23.60,8.51,6.03,7.42,22.79,6.02,1003.49,27.49,28.71,30.73,7.10,9.18,9.24,23.51,7.41,1010.58,9.41,P; Tset = 42.60; Ttrue = NaN; T1 = 21.46; RH1 = 10.60; T2 = 23.47; RH2 = 9.48
2017.11.10_02:44:24,26.84,27.14,23.65,6.34,4.17,5.97,22.78,6.01,1003.49,25.10,28.51,22.09,7.34,8.08,8.50,23.49,7.39,1010.62,9.40,P; Tset = 42.60; Ttrue = NaN; T1 = 21.45; RH1 = 10.60; T2 = 23.46; RH2 = 9.45
2017.11.10_02:45:24,27.15,28.34,24.88,5.04,4.02,7.19,22.77,6.03,1003.46,24.34,23.44,23.90,8.09,9.73,9.00,23.49,7.40,1010.65,9.40,P; Tset = 42.80; Ttrue = NaN; T1 = 21.44; RH1 = 10.61; T2 = 23.45; RH2 = 9.45
2017.11.10_02:46:24,25.58,26.54,27.89,6.46,6.81,7.39,22.76,6.03,1003.44,23.51,26.67,29.43,6.82,9.54,8.33,23.47,7.38,1010.63,9.41,P; Tset = 42.80; Ttrue = NaN; T1 = 21.43; RH1 = 10.62; T2 = 23.44; RH2 = 9.45
2017.11.10_02:47:24,29.59,27.20,20.85,7.43,4.46,6.34,22.76,6.03,1003.47,26.66,31.24,29.90,6.73,10.28,8.56,23.47,7.38,1010.67,9.40,P; Tset = 43.00; Ttrue = NaN; T1 = 21.42; RH1 = 10.62; T2 = 23.43; RH2 = 9.45
2017.11.10_02:48:24,26.19,25.22,20.62,5.07,4.00,4.97,22.74,6.03,1003.49,23.09,24.50,21.36,6.33,9.15,8.48,23.46,7.38,1010.73,9.42,P; Tset = 43.00; Ttrue = NaN; T1 = 21.41; RH1 = 10.64; T2 = 23.42; RH2 = 9.46
